Region name ,Local Authority Code,Local authority name,cx,cy,Year,Median House Price,Median House Earnings,Affordability Ratio
South West,E06000026,Plymouth,-0.08701249,51.35543964,2011,142000,23673,6
South West,E06000027,Torbay,-0.330330305,51.52234244,2011,160000,22055,7.25
South West,E06000030,Swindon,-0.087449771,51.65109953,2011,150000,26869,5.58
South West,E06000052,Cornwall,0.055474556,51.47432114,2011,187000,21752,8.6
South West,E06000053,Isles of Scilly,-0.063716753,51.55221341,2011,345000,:,:
South West,E06000054,Wiltshire,-0.221958108,51.49561249,2011,203000,26622,7.63
South West,E06000058,"Bournemouth, Christchurch and Poole",-0.107074718,51.59012717,2011,209000,25563,8.18
South West,E06000059,Dorset,-0.342398985,51.59821634,2011,225000,24252,9.28
South West,E07000040,East Devon,0.22076512,51.56309348,2011,223750,23097,9.69
South West,E07000041,Exeter,-0.445468857,51.54091423,2011,185000,23006,8.04
South West,E07000042,Mid Devon,-0.366019011,51.46859919,2011,182500,22095,8.26
South West,E07000043,North Devon,-0.110016873,51.54867902,2011,186000,20572,9.04
South West,E07000044,South Hams,-0.191895721,51.50057945,2011,242500,25245,9.61
South West,E07000045,Teignbridge,-0.286456134,51.38690897,2011,195000,22890,8.52
South West,E07000046,Torridge,-0.118775801,51.45429456,2011,180000,20670,8.71
South West,E07000047,West Devon,-0.020137242,51.44870508,2011,187975,23149,8.12
South West,E07000078,Cheltenham,-0.195734244,51.41025584,2011,195000,27020,7.22
South West,E07000079,Cotswold,0.037871856,51.52687365,2011,265000,24393,10.86
South West,E07000080,Forest of Dean,0.075865582,51.58511859,2011,171998,26241,6.55
South West,E07000081,Gloucester,-0.312616093,51.44260645,2011,138725,23011,6.03
South West,E07000082,Stroud,-0.074478372,51.47383789,2011,190000,26351,7.21
South West,E07000083,Tewkesbury,-0.177749907,51.361997,2011,186300,28901,6.45
South West,E07000187,Mendip,-0.034247986,51.51600279,2011,180000,26090,6.9
South West,E07000188,Sedgemoor,-0.01310028,51.59377006,2011,162973,21933,7.43
South West,E07000189,South Somerset,-0.187237692,51.45227037,2011,175000,23890,7.33
South West,E07000246,Somerset West and Taunton,-0.160511287,51.51353663,2011,180000,24292,7.41
Wales,W06000001,Isle of Anglesey,-4.37472181,53.28617979,2011,143250,21079,6.8
Wales,W06000002,Gwynedd,-4.024941446,52.89502809,2011,134500,22262,6.04
Wales,W06000003,Conwy,-3.735824836,53.14080306,2011,145000,22824,6.35
Wales,W06000004,Denbighshire,-3.354402384,53.09174947,2011,125000,22676,5.51
Wales,W06000005,Flintshire,-3.163560806,53.21825045,2011,136000,24385,5.58
Wales,W06000006,Wrexham,-3.017385479,52.99025997,2011,128750,22385,5.75
Wales,W06000008,Ceredigion,-4.072462565,52.2560194,2011,170000,21951,7.74
Wales,W06000009,Pembrokeshire,-4.886152911,51.85369052,2011,153374,23671,6.48
Wales,W06000010,Carmarthenshire,-4.163230903,51.89922016,2011,125000,22507,5.55
Wales,W06000011,Swansea,-4.061362498,51.64144135,2011,127000,25214,5.04
Wales,W06000012,Neath Port Talbot,-3.743376404,51.68003448,2011,98000,22732,4.31
Wales,W06000013,Bridgend,-3.600279809,51.55604066,2011,123000,23691,5.19
Wales,W06000014,Vale of Glamorgan,-3.39990784,51.44488173,2011,165000,26900,6.13
Wales,W06000015,Cardiff,-3.200572838,51.50867207,2011,155000,25183,6.15
Wales,W06000016,Rhondda Cynon Taf,-3.436233101,51.65110363,2011,89500,23233,3.85
Wales,W06000018,Caerphilly,-3.204795023,51.65314831,2011,108400,22810,4.75
Wales,W06000019,Blaenau Gwent,-3.194049323,51.76642193,2011,71500,19627,3.64
Wales,W06000020,Torfaen,-3.053352197,51.69905727,2011,118000,23715,4.98
Wales,W06000021,Monmouthshire,-2.867501903,51.75787214,2011,189975,28539,6.66
Wales,W06000022,Newport,-2.961684834,51.573778,2011,124950,23615,5.29
