label,cx,cy,Type,Value
Nuneaton and Bedworth,-1.475538461,52.50109525,Owns with a mortgage or loan or shared ownership,19136
Rugby,-1.32820046,52.38445519,Owns with a mortgage or loan or shared ownership,16704
Stratford-on-Avon,-1.622627172,52.17861308,Owns with a mortgage or loan or shared ownership,19027
Warwick,-1.58320889,52.31016755,Owns with a mortgage or loan or shared ownership,20440
Adur,-0.298974066,50.8437563,Owns with a mortgage or loan or shared ownership,9019
Arun,-0.568039098,50.84056369,Owns with a mortgage or loan or shared ownership,20424
Chichester,-0.742537073,50.93730724,Owns with a mortgage or loan or shared ownership,13411
Crawley,-0.182070165,51.12556003,Owns with a mortgage or loan or shared ownership,14983
Horsham,-0.36700229,50.9934095,Owns with a mortgage or loan or shared ownership,21655
Mid Sussex,-0.127444733,51.02046572,Owns with a mortgage or loan or shared ownership,23564
Worthing,-0.396273284,50.82872755,Owns with a mortgage or loan or shared ownership,15710
Bromsgrove,-2.016741484,52.36216772,Owns with a mortgage or loan or shared ownership,14969
Malvern Hills,-2.346178432,52.18309464,Owns with a mortgage or loan or shared ownership,9471
Redditch,-1.951203011,52.28226014,Owns with a mortgage or loan or shared ownership,12475
Worcester,-2.210907183,52.1962851,Owns with a mortgage or loan or shared ownership,13614
Wychavon,-2.051236204,52.16495473,Owns with a mortgage or loan or shared ownership,17705
Wyre Forest,-2.275643567,52.37964859,Owns with a mortgage or loan or shared ownership,13145
St Albans,-0.342835545,51.77235326,Owns with a mortgage or loan or shared ownership,21534
Welwyn Hatfield,-0.194360481,51.76773796,Owns with a mortgage or loan or shared ownership,14112
East Hertfordshire,-0.00870922,51.86504088,Owns with a mortgage or loan or shared ownership,22785
Stevenage,-0.190778925,51.90532164,Owns with a mortgage or loan or shared ownership,11900
East Suffolk,1.462236463,52.23722196,Owns with a mortgage or loan or shared ownership,27709
West Suffolk,0.621904761,52.27783559,Owns with a mortgage or loan or shared ownership,21933
Somerset West and Taunton,-3.362799711,51.08681537,Owns with a mortgage or loan or shared ownership,18683
Bolton,-2.466855489,53.5785946,Owns with a mortgage or loan or shared ownership,34101
Bury,-2.312187462,53.5876146,Owns with a mortgage or loan or shared ownership,26532
Manchester,-2.232642064,53.45090617,Owns with a mortgage or loan or shared ownership,46181
Oldham,-2.051716708,53.55197818,Owns with a mortgage or loan or shared ownership,27257
Rochdale,-2.157977236,53.61640542,Owns with a mortgage or loan or shared ownership,27308
Salford,-2.370645819,53.48955544,Owns with a mortgage or loan or shared ownership,29420
Stockport,-2.128115394,53.39381984,Owns with a mortgage or loan or shared ownership,45013
Tameside,-2.062595076,53.4778151,Owns with a mortgage or loan or shared ownership,30478
Trafford,-2.354567889,53.41944272,Owns with a mortgage or loan or shared ownership,33892
Wigan,-2.589304302,53.52438255,Owns with a mortgage or loan or shared ownership,46421
Knowsley,-2.833810968,53.42577631,Owns with a mortgage or loan or shared ownership,20927
Liverpool,-2.916827009,53.39563214,Owns with a mortgage or loan or shared ownership,48026
St. Helens,-2.722573442,53.45947892,Owns with a mortgage or loan or shared ownership,24653
Sefton,-3.015411693,53.56598673,Owns with a mortgage or loan or shared ownership,36410
Wirral,-3.092490981,53.36832384,Owns with a mortgage or loan or shared ownership,42668
Barnsley,-1.532427925,53.53591856,Owns with a mortgage or loan or shared ownership,32255
Doncaster,-1.095316654,53.54441256,Owns with a mortgage or loan or shared ownership,39565
Rotherham,-1.286167732,53.40895027,Owns with a mortgage or loan or shared ownership,34645
Sheffield,-1.550165536,53.40416175,Owns with a mortgage or loan or shared ownership,64050
Newcastle upon Tyne,-1.65780706,55.00783594,Owns with a mortgage or loan or shared ownership,30349
North Tyneside,-1.517595021,55.02809923,Owns with a mortgage or loan or shared ownership,30737
South Tyneside,-1.443736794,54.96345859,Owns with a mortgage or loan or shared ownership,18488
Sunderland,-1.452232617,54.8805122,Owns with a mortgage or loan or shared ownership,33164
Birmingham,-1.874388371,52.4885375,Owns with a mortgage or loan or shared ownership,111687
Coventry,-1.520150359,52.41735056,Owns with a mortgage or loan or shared ownership,37690
Dudley,-2.108118761,52.48313905,Owns with a mortgage or loan or shared ownership,40538
Sandwell,-2.008505062,52.51582047,Owns with a mortgage or loan or shared ownership,34711
Solihull,-1.727800153,52.41279379,Owns with a mortgage or loan or shared ownership,30294
Walsall,-1.966464676,52.59915138,Owns with a mortgage or loan or shared ownership,30850
Wolverhampton,-2.120607317,52.58899967,Owns with a mortgage or loan or shared ownership,26910
Bradford,-1.854799841,53.84480387,Owns with a mortgage or loan or shared ownership,63741
Calderdale,-1.973799757,53.72119003,Owns with a mortgage or loan or shared ownership,27536
Kirklees,-1.763291967,53.62742237,Owns with a mortgage or loan or shared ownership,54932
Leeds,-1.50588865,53.8255701,Owns with a mortgage or loan or shared ownership,101079
Wakefield,-1.411514615,53.66071437,Owns with a mortgage or loan or shared ownership,48460
Gateshead,-1.683691689,54.93541833,Owns with a mortgage or loan or shared ownership,24798
City of London,-0.09139891,51.51387518,Owns with a mortgage or loan or shared ownership,692
Barking and Dagenham,0.133734378,51.54382086,Owns with a mortgage or loan or shared ownership,21463
Barnet,-0.209097776,51.61599733,Owns with a mortgage or loan or shared ownership,40957
Bexley,0.142777628,51.46092515,Owns with a mortgage or loan or shared ownership,35470
Brent,-0.267642915,51.55940618,Owns with a mortgage or loan or shared ownership,23906
Bromley,0.051075423,51.37209202,Owns with a mortgage or loan or shared ownership,49400
Camden,-0.15650519,51.54561306,Owns with a mortgage or loan or shared ownership,13442
Croydon,-0.08701249,51.35543964,Owns with a mortgage or loan or shared ownership,48858
Ealing,-0.330330305,51.52234244,Owns with a mortgage or loan or shared ownership,34197
Enfield,-0.087449771,51.65109953,Owns with a mortgage or loan or shared ownership,32926
Greenwich,0.055474556,51.47432114,Owns with a mortgage or loan or shared ownership,30925
Hackney,-0.063716753,51.55221341,Owns with a mortgage or loan or shared ownership,18467
Hammersmith and Fulham,-0.221958108,51.49561249,Owns with a mortgage or loan or shared ownership,14815
Haringey,-0.107074718,51.59012717,Owns with a mortgage or loan or shared ownership,22707
Harrow,-0.342398985,51.59821634,Owns with a mortgage or loan or shared ownership,26750
Havering,0.22076512,51.56309348,Owns with a mortgage or loan or shared ownership,36437
Hillingdon,-0.445468857,51.54091423,Owns with a mortgage or loan or shared ownership,34210
Hounslow,-0.366019011,51.46859919,Owns with a mortgage or loan or shared ownership,27508
Islington,-0.110016873,51.54867902,Owns with a mortgage or loan or shared ownership,16169
Kensington and Chelsea,-0.191895721,51.50057945,Owns with a mortgage or loan or shared ownership,8566
Kingston upon Thames,-0.286456134,51.38690897,Owns with a mortgage or loan or shared ownership,21878
Lambeth,-0.118775801,51.45429456,Owns with a mortgage or loan or shared ownership,30730
Lewisham,-0.020137242,51.44870508,Owns with a mortgage or loan or shared ownership,34321
Merton,-0.195734244,51.41025584,Owns with a mortgage or loan or shared ownership,25642
Newham,0.037871856,51.52687365,Owns with a mortgage or loan or shared ownership,23623
Redbridge,0.075865582,51.58511859,Owns with a mortgage or loan or shared ownership,32248
Richmond upon Thames,-0.312616093,51.44260645,Owns with a mortgage or loan or shared ownership,26386
Southwark,-0.074478372,51.47383789,Owns with a mortgage or loan or shared ownership,27052
Sutton,-0.177749907,51.361997,Owns with a mortgage or loan or shared ownership,30536
Tower Hamlets,-0.034247986,51.51600279,Owns with a mortgage or loan or shared ownership,21602
Waltham Forest,-0.01310028,51.59377006,Owns with a mortgage or loan or shared ownership,31239
Wandsworth,-0.187237692,51.45227037,Owns with a mortgage or loan or shared ownership,36424
Westminster,-0.160511287,51.51353663,Owns with a mortgage or loan or shared ownership,11444
Isle of Anglesey,-4.37472181,53.28617979,Owns with a mortgage or loan or shared ownership,7351
Gwynedd,-4.024941446,52.89502809,Owns with a mortgage or loan or shared ownership,11364
Conwy,-3.735824836,53.14080306,Owns with a mortgage or loan or shared ownership,13258
Denbighshire,-3.354402384,53.09174947,Owns with a mortgage or loan or shared ownership,11346
Flintshire,-3.163560806,53.21825045,Owns with a mortgage or loan or shared ownership,22381
Wrexham,-3.017385479,52.99025997,Owns with a mortgage or loan or shared ownership,16453
Ceredigion,-4.072462565,52.2560194,Owns with a mortgage or loan or shared ownership,6474
Pembrokeshire,-4.886152911,51.85369052,Owns with a mortgage or loan or shared ownership,12697
Carmarthenshire,-4.163230903,51.89922016,Owns with a mortgage or loan or shared ownership,22145
Swansea,-4.061362498,51.64144135,Owns with a mortgage or loan or shared ownership,28539
Neath Port Talbot,-3.743376404,51.68003448,Owns with a mortgage or loan or shared ownership,17760
Bridgend,-3.600279809,51.55604066,Owns with a mortgage or loan or shared ownership,20427
Vale of Glamorgan,-3.39990784,51.44488173,Owns with a mortgage or loan or shared ownership,19366
Cardiff,-3.200572838,51.50867207,Owns with a mortgage or loan or shared ownership,43794
Rhondda Cynon Taf,-3.436233101,51.65110363,Owns with a mortgage or loan or shared ownership,31116
Caerphilly,-3.204795023,51.65314831,Owns with a mortgage or loan or shared ownership,24281
Blaenau Gwent,-3.194049323,51.76642193,Owns with a mortgage or loan or shared ownership,7694
Torfaen,-3.053352197,51.69905727,Owns with a mortgage or loan or shared ownership,12186
Monmouthshire,-2.867501903,51.75787214,Owns with a mortgage or loan or shared ownership,11838
Newport,-2.961684834,51.573778,Owns with a mortgage or loan or shared ownership,21861
Powys,-3.409923737,52.32562857,Owns with a mortgage or loan or shared ownership,12737
Merthyr Tydfil,-3.3606662,51.74007652,Owns with a mortgage or loan or shared ownership,7045
